threshold,accuracy
12.474520,0.501055
12.489568,0.501055
12.504615,0.501055
12.519663,0.501055
12.534711,0.501055
12.549758,0.501055
12.564806,0.501055
12.579854,0.501055
12.594901,0.501055
12.609949,0.501055
12.624997,0.501055
12.640044,0.501055
12.655092,0.501055
12.670140,0.501055
12.685187,0.501055
12.700235,0.501055
12.715283,0.501055
12.730330,0.501055
12.745378,0.501055
12.760426,0.501055
12.775473,0.501055
12.790521,0.501055
12.805569,0.501055
12.820616,0.501055
12.835664,0.501055
12.850712,0.501055
12.865760,0.501055
12.880807,0.501055
12.895855,0.501055
12.910903,0.501055
12.925950,0.501055
12.940998,0.501055
12.956046,0.501055
12.971093,0.501055
12.986141,0.501055
13.001189,0.501055
13.016236,0.501055
13.031284,0.501055
13.046332,0.501055
13.061379,0.501055
13.076427,0.501055
13.091475,0.501055
13.106522,0.501055
13.121570,0.501055
13.136618,0.501055
13.151665,0.501055
13.166713,0.501055
13.181761,0.501055
13.196808,0.501055
13.211856,0.501055
13.226904,0.501055
13.241951,0.501055
13.256999,0.501055
13.272047,0.501055
13.287094,0.501055
13.302142,0.501055
13.317190,0.501055
13.332237,0.501055
13.347285,0.501055
13.362333,0.501055
13.377380,0.501055
13.392428,0.501055
13.407476,0.500703
13.422523,0.500703
13.437571,0.500703
13.452619,0.500703
13.467666,0.500703
13.482714,0.500703
13.497762,0.500703
13.512809,0.500703
13.527857,0.500703
13.542905,0.500703
13.557952,0.500703
13.573000,0.500703
13.588048,0.500352
13.603095,0.500352
13.618143,0.500352
13.633191,0.500352
13.648238,0.500352
13.663286,0.500352
13.678334,0.500352
13.693381,0.500352
13.708429,0.500352
13.723477,0.500352
13.738524,0.500352
13.753572,0.500352
13.768620,0.500352
13.783667,0.500352
13.798715,0.500352
13.813763,0.500352
13.828811,0.500352
13.843858,0.500352
13.858906,0.500352
13.873954,0.500352
13.889001,0.500352
13.904049,0.500352
13.919097,0.500352
13.934144,0.500352
13.949192,0.500352
13.964240,0.500352
13.979287,0.500352
13.994335,0.500352
14.009383,0.500352
14.024430,0.500352
14.039478,0.500352
14.054526,0.500352
14.069573,0.500352
14.084621,0.500352
14.099669,0.500352
14.114716,0.500352
14.129764,0.500352
14.144812,0.500352
14.159859,0.500352
14.174907,0.500352
14.189955,0.500352
14.205002,0.500352
14.220050,0.500352
14.235098,0.500352
14.250145,0.500352
14.265193,0.500352
14.280241,0.500352
14.295288,0.500352
14.310336,0.500352
14.325384,0.500352
14.340431,0.500352
14.355479,0.500352
14.370527,0.500352
14.385574,0.500352
14.400622,0.500352
14.415670,0.500352
14.430717,0.500352
14.445765,0.500352
14.460813,0.500352
14.475860,0.500352
14.490908,0.500352
14.505956,0.500352
14.521003,0.500352
14.536051,0.500352
14.551099,0.500352
14.566146,0.500352
14.581194,0.500352
14.596242,0.500352
14.611289,0.500352
14.626337,0.500352
14.641385,0.500352
14.656432,0.500352
14.671480,0.500352
14.686528,0.500352
14.701575,0.500352
14.716623,0.500352
14.731671,0.500352
14.746718,0.500352
14.761766,0.500352
14.776814,0.500352
14.791862,0.500352
14.806909,0.500352
14.821957,0.500352
14.837005,0.500352
14.852052,0.500352
14.867100,0.500352
14.882148,0.500352
14.897195,0.500352
14.912243,0.500352
14.927291,0.500352
14.942338,0.500352
14.957386,0.500352
14.972434,0.500352
14.987481,0.500352
15.002529,0.500352
15.017577,0.500352
15.032624,0.500352
