threshold,accuracy
0.882748,0.531997
0.883749,0.531646
0.884750,0.531997
0.885751,0.531997
0.886751,0.531997
0.887752,0.532349
0.888753,0.532349
0.889753,0.532700
0.890754,0.532700
0.891755,0.533052
0.892756,0.533052
0.893756,0.533404
0.894757,0.533404
0.895758,0.533404
0.896758,0.533755
0.897759,0.533755
0.898760,0.534107
0.899760,0.534459
0.900761,0.534459
0.901762,0.534459
0.902763,0.534459
0.903763,0.534459
0.904764,0.534810
0.905765,0.534810
0.906765,0.534810
0.907766,0.534810
0.908767,0.535162
0.909767,0.535513
0.910768,0.535865
0.911769,0.535865
0.912770,0.535865
0.913770,0.536217
0.914771,0.536217
0.915772,0.536568
0.916772,0.536568
0.917773,0.536568
0.918774,0.536568
0.919774,0.536568
0.920775,0.536920
0.921776,0.536568
0.922777,0.536568
0.923777,0.536568
0.924778,0.536920
0.925779,0.536920
0.926779,0.537271
0.927780,0.537623
0.928781,0.537623
0.929781,0.537975
0.930782,0.538326
0.931783,0.538678
0.932784,0.538678
0.933784,0.538678
0.934785,0.538678
0.935786,0.538678
0.936786,0.538678
0.937787,0.539030
0.938788,0.539381
0.939788,0.539733
0.940789,0.539733
0.941790,0.539733
0.942791,0.540084
0.943791,0.540436
0.944792,0.540788
0.945793,0.541139
0.946793,0.541139
0.947794,0.541139
0.948795,0.541139
0.949796,0.541139
0.950796,0.541842
0.951797,0.541842
0.952798,0.541842
0.953798,0.541842
0.954799,0.541842
0.955800,0.541842
0.956800,0.541842
0.957801,0.542194
0.958802,0.542194
0.959803,0.542546
0.960803,0.542897
0.961804,0.542897
0.962805,0.543952
0.963805,0.543952
0.964806,0.543952
0.965807,0.545007
0.966807,0.545359
0.967808,0.545710
0.968809,0.546062
0.969810,0.546414
0.970810,0.546414
0.971811,0.546765
0.972812,0.547117
0.973812,0.547117
0.974813,0.547468
0.975814,0.548523
0.976814,0.548172
0.977815,0.547468
0.978816,0.548523
0.979817,0.548523
0.980817,0.548875
0.981818,0.548875
0.982819,0.549226
0.983819,0.549578
0.984820,0.549578
0.985821,0.548523
0.986821,0.548523
0.987822,0.548875
0.988823,0.549578
0.989824,0.549226
0.990824,0.549226
0.991825,0.550985
0.992826,0.552039
0.993826,0.553094
0.994827,0.553094
0.995828,0.552391
0.996828,0.553094
0.997829,0.544304
0.998830,0.537975
0.999831,0.500000
